City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
159,Waipawa,NZ,-41.4122,175.5153,48.29,85,100,5.97,light rain
160,Rosarito,MX,32.3333,-117.0333,86.63,69,49,10.71,scattered clouds
161,Bougouni,ML,11.417,-7.479,83.48,69,86,4.5,overcast clouds
162,Dubbo,AU,-32.25,148.6167,35.73,85,100,0.0,overcast clouds
163,Ossora,RU,59.2353,163.0719,52.83,85,89,8.93,overcast clouds
164,Asau,RO,46.4333,26.4,74.32,83,45,3.0,scattered clouds
165,Utica,US,43.1009,-75.2327,81.91,59,100,4.88,overcast clouds
166,Berlevag,NO,70.8578,29.0864,62.4,94,75,11.5,thunderstorm
167,Verkhnevilyuysk,RU,63.4453,120.3167,67.37,78,6,4.7,clear sky
168,Thompson,CA,55.7435,-97.8558,53.98,90,100,9.4,overcast clouds
169,Dikson,RU,73.5069,80.5464,41.41,95,100,14.09,overcast clouds
170,Cayenne,GF,4.9333,-52.3333,84.09,1,75,5.75,broken clouds
171,Lorengau,PG,-2.0226,147.2712,82.08,77,86,10.47,overcast clouds
172,Yerbogachen,RU,61.2767,108.0108,61.36,84,100,4.83,light rain
173,Vera Cruz,BR,-12.6333,-41.0333,79.05,37,91,0.94,overcast clouds
174,Olafsvik,IS,64.8945,-23.7142,52.02,91,100,14.47,overcast clouds
175,Nishihara,JP,26.1842,127.7558,81.68,83,0,8.05,clear sky
176,Haines Junction,CA,60.7522,-137.5108,54.64,61,93,3.18,overcast clouds
177,Itarema,BR,-2.9248,-39.9167,84.02,63,29,18.14,scattered clouds
178,Maldonado,UY,-34.6667,-54.9167,63.23,70,73,10.71,broken clouds
179,Novi Pazar,RS,43.1367,20.5122,65.03,97,85,0.6,overcast clouds
180,Yulara,AU,-25.2406,130.9889,43.3,36,0,8.52,clear sky
181,Pangnirtung,CA,66.1451,-65.7125,57.09,60,77,4.05,broken clouds
182,Qaanaaq,GL,77.484,-69.3632,40.91,78,67,7.58,broken clouds
183,Manbij,SY,36.5281,37.9549,89.76,18,0,11.99,clear sky
184,Vaini,TO,-21.2,-175.2,69.96,100,20,3.44,few clouds
185,Kiunga,PG,-6.1219,141.2906,73.62,99,98,3.31,overcast clouds
186,Aksarka,RU,66.5606,67.7975,55.04,70,0,3.76,clear sky
187,Adrar,MR,20.5022,-10.0711,110.39,7,2,19.73,clear sky
188,Alofi,NU,-19.0595,-169.9187,75.83,76,12,19.08,few clouds
189,Iquique,CL,-20.2208,-70.1431,64.44,72,60,8.61,broken clouds
190,Truth Or Consequences,US,33.1284,-107.2528,86.92,40,0,10.36,clear sky
191,Fort Nelson,CA,58.8053,-122.7002,73.18,49,10,7.81,clear sky
192,Casay,PH,9.8204,123.5496,79.83,83,87,3.71,overcast clouds
193,Humaita,BR,-7.5061,-63.0208,100.51,19,24,2.95,few clouds
194,Umea,SE,63.8284,20.2597,62.53,51,100,13.8,overcast clouds
195,Seddon,AU,-37.8068,144.8916,52.3,90,75,8.05,broken clouds
196,Kruisfontein,ZA,-34.0033,24.7314,52.88,90,39,2.28,scattered clouds
197,Sitka,US,57.0531,-135.33,60.69,67,20,3.44,few clouds
198,Coahuayana,MX,18.7333,-103.6833,90.84,49,94,4.25,overcast clouds
199,Sinjar,IQ,36.3209,41.8754,93.22,10,0,10.51,clear sky
200,Severo-Yeniseyskiy,RU,60.3725,93.0408,56.37,90,99,2.91,overcast clouds
201,Goderich,CA,43.7501,-81.7165,72.28,73,85,7.67,overcast clouds
202,Latung,PH,5.5,120.8833,82.08,76,38,1.41,scattered clouds
203,Pen,IN,18.75,73.0833,82.44,88,100,0.87,overcast clouds
204,Enshi,CN,30.3,109.4833,71.91,96,94,1.14,overcast clouds
205,Skibbereen,IE,51.55,-9.2667,62.11,71,82,9.93,broken clouds
206,Arraial Do Cabo,BR,-22.9661,-42.0278,75.06,69,0,16.11,clear sky
207,Guerrero Negro,MX,27.9769,-114.0611,77.47,55,3,10.02,clear sky
208,Korla,CN,41.7597,86.1469,86.95,22,99,14.72,overcast clouds
209,Huntsville,US,34.7304,-86.5861,93.78,56,75,10.36,broken clouds
210,East London,ZA,-33.0153,27.9116,65.35,74,83,6.93,broken clouds
211,Fortuna,US,40.5982,-124.1573,66.92,79,16,3.0,few clouds
212,Puerto Rico,AR,-26.796,-55.024,85.78,37,66,4.27,broken clouds
213,Bage,BR,-31.3314,-54.1069,82.18,61,0,3.44,clear sky
214,Malinyi,TZ,-8.9333,36.1333,70.99,54,90,3.96,overcast clouds
215,Rudnya,RU,54.947,31.0934,60.73,95,100,6.58,overcast clouds
216,Mahebourg,MU,-20.4081,57.7,71.26,79,41,14.2,light rain
217,Brae,GB,60.3964,-1.353,55.83,72,61,6.96,broken clouds
218,Cabo San Lucas,MX,22.8909,-109.9124,94.6,76,20,11.5,few clouds
219,Bilma,NE,18.6853,12.9164,98.82,9,36,9.26,scattered clouds
220,Zhigansk,RU,66.7697,123.3711,63.41,73,5,1.99,clear sky
221,Guanica,PR,17.9716,-66.908,85.05,80,8,14.81,clear sky
222,Hithadhoo,MV,-0.6,73.0833,81.88,75,100,9.17,overcast clouds
223,Constitucion,CL,-35.3333,-72.4167,55.65,67,0,5.73,clear sky
224,Mogadishu,SO,2.0371,45.3438,76.23,77,81,19.39,broken clouds
225,Lima,PE,-12.0432,-77.0282,61.05,77,100,10.36,overcast clouds
226,Werda,BW,-25.2667,23.2833,67.24,30,45,10.8,scattered clouds
227,Kharan,PK,28.5833,65.4167,89.98,51,83,12.8,broken clouds
228,Nioki,CD,-2.7167,17.6833,81.01,46,86,1.14,overcast clouds
229,Mabaruma,GY,8.2,-59.7833,88.47,56,26,5.19,scattered clouds
230,Cookeville,US,36.1628,-85.5016,89.31,70,20,10.36,few clouds
231,Marrakesh,MA,31.6315,-8.0083,100.47,14,20,8.05,few clouds
232,Portland,US,45.5234,-122.6762,85.98,55,20,4.61,few clouds
233,Eureka,US,40.8021,-124.1637,68.2,81,33,3.0,scattered clouds
234,Bonavista,CA,48.6499,-53.1147,62.92,91,97,9.4,light rain
235,Salalah,OM,17.0151,54.0924,77.09,94,100,6.91,light intensity drizzle
236,Dongsheng,CN,39.8161,109.9776,63.7,67,6,9.75,clear sky
237,Teya,RU,60.3778,92.6267,60.12,80,94,2.77,overcast clouds
238,Areka,ET,7.0667,37.7,58.77,87,100,1.21,overcast clouds
239,Poyarkovo,RU,49.6,128.6833,67.55,79,97,3.31,overcast clouds
240,Piacabucu,BR,-10.4056,-36.4344,78.24,63,23,7.25,few clouds
241,Hofn,IS,64.2539,-15.2082,53.62,94,100,11.5,drizzle rain
242,Sao Filipe,CV,14.8961,-24.4956,80.53,81,71,4.34,broken clouds
243,Jacksonville Beach,US,30.2947,-81.3931,97.02,74,75,13.8,broken clouds
244,Chuy,UY,-33.6971,-53.4616,65.14,81,51,7.23,broken clouds
245,Flinders,AU,-34.5833,150.8552,54.18,69,27,10.0,scattered clouds
246,Coffs Harbour,AU,-30.3,153.1333,49.96,66,21,9.22,few clouds
247,Elko,US,41.0002,-115.5012,89.64,15,17,5.01,few clouds
248,Shahr-E Babak,IR,30.1165,55.1186,68.94,82,100,3.51,light rain
249,Vila Franca Do Campo,PT,37.7167,-25.4333,75.61,66,77,8.61,broken clouds
250,Dakar,SN,14.6937,-17.4441,81.9,78,100,13.73,overcast clouds
251,Tiarei,PF,-17.5333,-149.3333,77.02,73,47,25.59,scattered clouds
252,Lavrentiya,RU,65.5833,-171.0,41.7,81,90,7.58,overcast clouds
253,Balabac,PH,7.9868,117.0645,81.93,77,87,7.02,overcast clouds
254,Nouadhibou,MR,20.931,-17.0347,70.88,87,6,24.29,clear sky
255,Barrow,US,71.2906,-156.7887,33.53,97,100,13.49,overcast clouds
256,Wageningen,NL,51.9667,5.6667,69.12,58,100,6.91,overcast clouds
257,Esperance,AU,-33.8667,121.9,53.44,82,63,13.33,broken clouds
258,Ghorawal,IN,24.7667,82.7833,83.05,67,99,3.44,moderate rain
259,Taoudenni,ML,22.6783,-3.9836,112.3,5,0,17.09,clear sky
260,Ponta Delgada,PT,37.7333,-25.6667,75.92,83,20,19.57,few clouds
261,Souillac,MU,-20.5167,57.5167,69.94,83,21,11.52,light rain
262,Vilhena,BR,-12.7406,-60.1458,90.63,22,21,5.39,few clouds
263,Severo-Kurilsk,RU,50.6789,156.125,51.26,89,20,7.09,few clouds
264,Beloha,MG,-25.1667,45.05,61.95,75,2,5.91,clear sky
265,Anadyr,RU,64.75,177.4833,44.49,87,100,12.03,overcast clouds
266,Vysokogornyy,RU,50.1167,139.15,53.74,98,38,1.68,scattered clouds
267,Carnarvon,AU,-24.8667,113.6333,60.87,72,100,3.44,overcast clouds
268,Provins,FR,48.5833,3.1667,74.52,26,87,8.88,overcast clouds
269,Eyrarbakki,IS,63.863,-21.1481,54.21,96,100,16.55,overcast clouds
270,Katherine,AU,-14.4667,132.2667,57.52,54,40,3.44,scattered clouds
271,Lompoc,US,34.6391,-120.4579,71.74,82,100,6.91,mist
272,Inhambane,MZ,-23.865,35.3833,65.41,72,0,7.16,clear sky
273,Coihaique,CL,-45.5752,-72.0662,48.15,29,20,4.61,few clouds
274,Fairbanks,US,64.8378,-147.7164,52.14,86,100,3.44,light rain
275,Granadilla De Abona,ES,28.1188,-16.576,82.74,64,0,9.22,clear sky
276,Killybegs,IE,54.6333,-8.45,62.31,65,100,1.25,overcast clouds
277,Herat,AF,34.5,62.0,88.25,23,5,23.96,clear sky
278,Saint-Georges,GD,12.0564,-61.7485,81.41,76,15,11.41,few clouds
279,Tura,IN,25.5198,90.2201,74.32,90,87,3.38,overcast clouds
280,Constantine,DZ,36.365,6.6147,87.21,42,20,17.27,few clouds
281,Gilgit,PK,35.9221,74.3087,82.2,58,89,0.65,overcast clouds
282,Zima,RU,53.9202,102.0442,53.76,77,100,4.56,overcast clouds
283,Lugo,ES,43.0,-7.5,72.91,65,1,7.0,clear sky
284,Zlynka,RU,52.4267,31.7378,66.54,85,100,6.98,overcast clouds
285,Sistranda,NO,63.7256,8.834,51.76,73,96,14.88,overcast clouds
286,Ouesso,CG,1.6136,16.0517,78.12,69,87,2.21,overcast clouds
287,Asosa,ET,10.0667,34.5333,58.93,95,100,2.89,overcast clouds
288,Uzunovo,RU,54.5386,38.6173,70.99,74,82,4.07,broken clouds
289,Los Llanos De Aridane,ES,28.6585,-17.9182,71.35,78,0,17.27,clear sky
290,Bridlington,GB,54.0831,-0.1919,66.13,73,98,18.61,overcast clouds
291,Lata,PT,40.1629,-8.3327,72.81,46,0,9.89,clear sky
292,Ponta Do Sol,PT,32.6667,-17.1,76.71,74,1,5.64,clear sky
293,Viedma,AR,-40.8135,-62.9967,50.65,92,100,13.67,overcast clouds
294,Sri Aman,MY,1.2376,111.4621,74.28,98,100,0.83,overcast clouds
295,Lumeje,AO,-11.55,20.7833,66.25,22,42,5.84,scattered clouds
296,Vila,PT,42.0304,-8.1588,76.69,44,0,7.49,clear sky
297,Agirish,RU,61.9247,63.0231,62.91,53,84,1.79,broken clouds
298,Claresholm,CA,50.0333,-113.5852,71.2,40,10,4.72,clear sky
299,Arbuzynka,UA,47.9097,31.3196,78.3,30,75,7.96,broken clouds
300,Bengkulu,ID,-3.8004,102.2655,76.48,86,48,2.91,scattered clouds
301,Boyolangu,ID,-8.1181,111.8935,72.3,94,79,1.52,broken clouds
302,Moshupa,BW,-24.7782,25.4155,62.82,41,52,5.82,broken clouds
303,Nhulunbuy,AU,-12.2333,136.7667,72.21,88,7,8.05,clear sky
304,Sechura,PE,-5.5569,-80.8222,76.32,59,55,9.53,broken clouds
305,Mahibadhoo,MV,3.7833,72.9667,82.78,74,99,15.68,overcast clouds
306,Moree,AU,-29.4667,149.85,43.56,81,97,7.38,overcast clouds
307,Keetmanshoop,NA,-26.5833,18.1333,58.86,21,0,5.64,clear sky
308,Ixtapa,MX,20.7,-105.2,89.22,62,75,2.3,broken clouds
309,Dundee,GB,56.5,-2.9667,62.51,74,20,11.5,few clouds
310,Plouzane,FR,48.3833,-4.6167,68.05,52,0,8.05,clear sky
311,Mehamn,NO,71.0357,27.8492,53.51,100,100,6.91,mist
312,Bereda,ES,43.2686,-7.5406,73.58,70,1,6.22,clear sky
313,Jumla,NP,29.2747,82.1838,62.56,97,100,1.3,overcast clouds
314,Darhan,MN,49.4867,105.9228,55.94,68,96,3.4,overcast clouds
315,Matiguas,NI,12.8373,-85.4622,82.29,70,99,6.8,light rain
316,Lodeynoye Pole,RU,60.726,33.5531,64.18,82,100,1.83,overcast clouds
317,Abasolo,MX,20.45,-101.5167,73.67,61,95,2.84,overcast clouds
318,Kapchorwa,UG,1.3965,34.4509,60.57,80,91,3.94,overcast clouds
319,Mawlaik,MM,23.6333,94.4167,77.76,95,100,1.92,overcast clouds
320,Luderitz,NA,-26.6481,15.1594,58.14,72,0,8.25,clear sky
321,Alegrete,BR,-29.7831,-55.7919,78.78,63,100,9.04,overcast clouds
322,Najran,SA,17.4924,44.1277,86.07,32,98,7.14,overcast clouds
323,Maymyo,MM,22.0333,96.4667,69.06,85,97,2.17,overcast clouds
324,Kaitangata,NZ,-46.2817,169.8464,44.4,95,100,5.3,moderate rain
325,Srednekolymsk,RU,67.45,153.6833,38.64,79,9,6.4,clear sky
326,Baykit,RU,61.67,96.37,62.26,98,100,2.06,overcast clouds
327,Boden,SE,65.8252,21.6886,62.6,83,100,7.78,overcast clouds
328,Waingapu,ID,-9.6567,120.2641,73.18,88,14,11.3,few clouds
329,Inuvik,CA,68.3499,-133.7218,57.96,54,75,10.36,broken clouds
330,Shenjiamen,CN,29.9576,122.298,80.1,91,9,15.99,clear sky
331,Svetlogorsk,BY,52.6333,29.7333,62.58,94,97,8.12,overcast clouds
332,Grand Gaube,MU,-20.0064,57.6608,71.38,72,20,5.99,few clouds
333,Hami,CN,42.8,93.45,86.16,14,74,8.61,broken clouds
334,Grand-Santi,GF,4.25,-54.3833,85.42,61,91,2.35,overcast clouds
335,La Ronge,CA,55.1001,-105.2842,68.22,42,75,10.36,broken clouds
336,Mpika,ZM,-11.8343,31.4529,55.69,54,5,4.7,clear sky
337,Kismayo,SO,-0.3582,42.5454,75.7,77,31,15.75,scattered clouds
338,Cradock,ZA,-32.1642,25.6192,51.35,91,49,6.51,light rain
339,Rocha,UY,-34.4833,-54.3333,71.19,74,78,10.96,broken clouds
340,Razdolnoye,RU,43.55,131.9167,68.41,97,77,3.94,broken clouds
341,Arawa,PG,-6.2132,155.5367,75.22,89,51,5.32,broken clouds
342,High Rock,BS,26.6208,-78.2833,84.42,70,45,11.27,scattered clouds
343,Labuhan,ID,-6.8844,112.2051,76.66,84,62,7.14,broken clouds
344,Ola,RU,59.5833,151.2833,53.15,91,70,1.81,broken clouds
345,Wad Rawah,SD,15.1603,33.1397,85.17,47,91,14.63,overcast clouds
