City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
355,Kabinda,CD,76.48,overcast clouds,-6.1333,24.4833,Village Mianda Mutole
357,Namatanai,PG,78.8,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
359,Irosin,PH,74.16,light rain,12.75,124.0333,Yani's Farmhouse
362,Ibra,OM,79.41,few clouds,22.6906,58.5334,مزرعة راحة النفوس المنزفة
363,Gwadar,PK,82.49,broken clouds,25.1216,62.3254,Sadaf Resort
368,Isangel,VU,75.13,broken clouds,-19.55,169.2667,Tanna Lodge
369,Oistins,BB,87.89,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
370,Pundaguitan,PH,82.96,broken clouds,6.3711,126.1689,Leonardo Family Beach House 1
372,Mino,JP,80.42,scattered clouds,34.8269,135.4706,Ooedo Onsen Monogatari Minoh Kankō Hotel
373,Tautira,PF,76.69,overcast clouds,-17.7333,-149.15,Pension Oaoa
375,Hobyo,SO,76.5,overcast clouds,5.3505,48.5268,Iftin hotel hobyo
376,Sao Joao Da Barra,BR,78.89,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
377,Yenagoa,NG,75.09,moderate rain,4.9247,6.2642,Aridolf Resort Wellness and Spa
380,Bireun,ID,77.31,overcast clouds,5.203,96.7009,Rumah Bp.AR. ISMAIL
381,Puerto Gaitan,CO,77.59,light rain,4.3133,-72.0816,Brisas del Yucao
383,Samarai,PG,78.28,overcast clouds,-10.6167,150.6667,Nuli Sapi
385,Chalchihuites,MX,74.01,broken clouds,23.4833,-103.8833,Hotel chalchihuites
388,Santa Maria,BR,77.76,overcast clouds,-29.6842,-53.8069,Hotel Morotin
390,Bonthe,SL,76.26,light rain,7.5264,-12.505,Bonthe Holiday Village
396,Atasu,KZ,76.55,scattered clouds,48.6814,71.6433,Dostyk
397,Charagua,BO,89.69,few clouds,-19.8,-63.2167,Hotel
401,Cubuk,TR,82.15,clear sky,40.2386,33.0322,Çubuk Öğretmenevi
404,Eskil,TR,78.66,clear sky,38.4017,33.4131,Eskil Öğretmen Evi
407,Winslow,US,78.98,broken clouds,35.0242,-110.6974,Best Western Plus Winslow Inn
410,Pachino,IT,81.95,clear sky,36.7186,15.0907,Il Veliero
411,Villa Bruzual,VE,85.64,few clouds,9.3328,-69.1208,hotel italia
415,Misratah,LY,84.96,clear sky,32.3754,15.0925,Almasa Hotel
416,Sadasivpet,IN,77.54,overcast clouds,17.6212,77.9503,Anantha sai medical & General store
417,Half Moon Bay,US,78.89,broken clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
420,Matara,LK,76.39,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
